item_id,paired_id
0,0
1,12608
2,11292
3,12582
4,12582
5,5313
6,12582
7,5313
8,12582
9,12582
10,15077
11,12582
12,12582
13,5313
14,12582
15,12113
16,12113
17,14129
18,7161
19,17674
20,7161
21,16480
22,16580
23,24
24,24
25,16580
26,15587
27,17988
28,16075
29,19793
30,9054
31,4006
32,20686
33,21004
34,20686
35,3123
36,3123
37,3123
38,3123
39,20897
40,20925
41,18391
42,5375
43,10631
44,10631
45,11481
46,11481
47,20173
48,20173
49,20710
50,20710
51,3123
52,18515
53,12531
54,20623
55,16930
56,4953
57,4953
58,7579
59,3773
60,21137
61,12158
62,20740
63,19968
64,17048
65,7567
66,16161
67,19605
68,7161
69,17674
70,17674
71,17677
72,14232
73,7567
74,19273
75,5827
76,81
77,3984
78,81
79,81
80,81
81,81
82,20426
83,20391
84,7658
85,19254
86,11201
87,11201
88,11201
89,20287
90,9769
91,10532
92,1984
93,13131
94,20656
95,20656
96,12531
97,21115
98,12531
99,21292
100,7039
101,21292
102,5394
103,21004
104,21276
105,5400
106,4257
107,2902
108,7700
109,16137
110,16105
111,16105
112,16105
113,13579
114,15305
115,16137
116,16137
117,16137
118,15077
119,14180
120,12486
121,12486
122,16674
123,12760
124,9638
125,9638
126,9638
127,13178
128,12887
129,20769
130,13178
131,17677
132,15194
133,15064
134,15064
135,5313
136,13178
137,9638
138,7146
139,7146
140,8552
141,5843
142,14260
143,14260
144,14260
145,14260
146,14260
147,14260
148,20328
149,18515
150,18515
151,4723
152,20170
153,20170
154,17631
155,17000
156,15935
157,17631
158,160
159,3984
160,160
161,160
162,10544
163,3491
164,18342
165,18342
166,18342
167,10492
168,18149
169,14595
170,17968
171,15681
172,18686
173,18686
174,19494
175,7284
176,11323
177,5365
178,5668
179,5668
180,5668
181,5668
182,12791
183,2894
184,9696
185,8721
186,7019
187,8511
188,14196
189,2486
190,18199
191,17159
192,10762
193,16164
194,17159
195,5841
196,3535
197,3535
198,8721
199,9976
200,1503
201,19055
202,19055
203,19023
204,19711
205,5843
206,19714
207,19711
208,16050
209,2122
210,2122
211,11012
212,6952
213,14590
214,16050
215,16050
216,9779
217,20217
218,11166
219,2617
220,12197
221,12197
222,12887
223,7161
224,9499
225,14129
226,14129
227,1149
228,17043
229,4709
230,20217
231,7093
232,19470
233,8674
234,237
235,237
236,237
237,237
238,237
239,17705
240,19065
241,9188
242,17739
243,7761
244,4199
245,5694
246,5694
247,5694
248,10346
249,17792
250,14870
251,15077
252,14796
253,13602
254,16674
255,17739
256,13047
257,20223
258,12318
259,3087
260,6413
261,18363
262,11699
263,15711
264,20425
265,20425
266,18235
267,14938
268,3725
269,269
270,270
271,270
272,9960
273,9960
274,12582
275,19709
276,12582
277,20173
278,6059
279,3937
280,12759
281,18336
282,18336
283,18336
284,17920
285,18336
286,18336
287,18336
288,18191
289,15601
290,20307
291,9284
292,16930
293,16930
294,13786
295,7628
296,7628
297,8801
298,13721
299,5267
300,5267
301,19460
302,15062
303,8801
304,19431
305,19431
306,11201
307,12164
308,7829
309,19297
310,15431
311,5400
312,8087
313,8087
314,7579
315,8087
316,7579
317,8087
318,7579
319,1604
320,8087
321,17904
322,14956
323,4953
324,4953
325,4953
326,4255
327,4953
328,4953
329,4953
330,8087
331,14796
332,16674
333,16674
334,15077
335,16674
336,12582
337,6355
338,12582
339,10446
340,15301
341,17471
342,20140
343,8254
344,3467
345,3467
346,3467
347,3467
