item_id,paired_id
0,0
1,3567
2,768
3,1929
4,778
5,1929
6,6
7,778
8,8
9,1929
10,1922
11,11
12,1929
13,705
14,3126
15,778
16,1929
17,8
18,18
19,4039
20,3126
21,3126
22,4008
23,768
24,2748
25,3574
26,29
27,2719
28,5025
29,29
30,1922
31,3177
32,5672
33,3574
34,3567
35,2719
36,7813
37,3177
38,3155
39,3177
40,5672
41,3574
42,3155
43,3126
44,2719
45,3126
46,3155
47,3155
48,1899
49,1929
50,4036
51,4039
52,3126
53,3177
54,705
55,2748
56,2719
57,4036
58,1929
59,3567
60,3177
61,3567
62,62
63,4039
64,3177
65,2710
66,778
67,627
68,8365
69,2748
70,70
71,5672
72,1929
73,4081
74,4039
75,3567
76,4036
77,1922
78,1929
79,3126
80,627
81,4309
82,705
83,4036
84,3177
85,1899
86,2722
87,4039
88,2748
89,1929
90,3567
91,238
92,5207
93,1467
94,94
95,1229
96,4510
97,905
98,1467
99,4309
100,3794
101,101
102,1467
103,5207
104,1701
105,903
106,3614
107,1178
108,108
109,3671
110,110
111,294
112,3084
113,822
114,3084
115,317
116,1413
117,240
118,877
119,1705
120,688
121,1413
122,1410
123,240
124,2109
125,108
126,2109
127,1467
128,2864
129,2111
130,294
131,3671
132,1343
133,294
134,1248
135,5207
136,238
137,137
138,240
139,1320
140,1320
141,5207
142,1705
143,1343
144,3639
145,4510
146,146
147,147
148,1229
149,1605
150,3639
151,2111
152,1622
153,5207
154,5207
155,5337
156,240
157,2797
158,1303
159,159
160,4325
161,161
162,162
163,5225
164,1413
165,4309
166,238
167,1345
168,3639
169,838
170,7363
171,4723
172,172
173,173
174,5425
175,3653
176,1217
177,5207
178,3671
179,2797
180,5207
181,1217
182,182
183,183
184,6277
185,1248
186,4510
187,240
188,4309
189,189
190,5207
191,1705
192,2005
193,5207
194,194
195,195
196,2956
197,5207
198,5207
199,1705
200,3677
201,201
202,268
203,94
204,4133
205,205
206,206
207,207
208,208
209,209
210,838
211,211
212,2111
213,189
214,214
215,2797
216,5207
217,1705
218,1413
219,219
220,3346
221,665
222,222
223,223
224,224
225,7363
226,4309
227,227
228,1497
229,2647
230,5480
231,1180
232,292
233,3520
234,5207
235,235
236,1345
237,237
238,238
239,239
240,240
241,6685
242,4710
243,243
244,244
245,665
246,2809
247,6097
248,248
249,249
250,10421
251,5207
252,7034
253,3096
254,2825
255,665
256,108
257,7363
258,3530
259,856
260,674
261,665
262,262
263,6685
264,268
265,1410
266,10421
267,7363
268,268
269,5200
270,4544
271,3530
272,94
273,294
274,274
275,223
276,3165
277,94
278,665
279,292
280,347
281,5601
282,3520
283,2900
284,295
