user_id:token,timestamp,popularity_label,item_popularity,interaction_count,activity_label
1,0.7444155812263489,0,0,206,1
1,0.7827273011207581,0,0,206,1
1,0.8492207527160645,0,1,206,1
1,0.851038932800293,0,0,206,1
1,0.854285717010498,0,1,206,1
1,0.8545454740524292,0,0,206,1
1,0.8549350500106812,0,0,206,1
1,0.8562337756156921,0,0,206,1
1,0.8566233515739441,0,0,206,1
1,0.8566233515739441,0,1,206,1
1,0.8570129871368408,0,1,206,1
1,0.8581818342208862,0,1,206,1
1,0.8589610457420349,0,0,206,1
1,0.8592208027839661,0,0,206,1
1,0.8597402572631836,0,0,206,1
1,0.8607792258262634,0,0,206,1
1,0.8607792258262634,0,1,206,1
1,0.861298680305481,0,0,206,1
1,0.8620779514312744,0,0,206,1
1,0.8625974059104919,0,0,206,1
1,0.8628571629524231,0,1,206,1
1,0.8633766174316406,0,0,206,1
1,0.8637662529945374,0,0,206,1
1,0.8637662529945374,0,0,206,1
1,0.864545464515686,0,0,206,1
1,0.8654545545578003,0,0,206,1
1,0.8661038875579834,0,1,206,1
1,0.8661038875579834,0,0,206,1
1,0.8663636445999146,0,0,206,1
1,0.8667532205581665,0,0,206,1
1,0.8677921891212463,0,0,206,1
1,0.8684415817260742,0,0,206,1
1,0.8689610362052917,0,0,206,1
1,0.8701298832893372,0,0,206,1
1,0.8705194592475891,0,1,206,1
1,0.8705194592475891,0,0,206,1
1,0.8710389733314514,0,1,206,1
1,0.8720779418945312,0,1,206,1
1,0.8724675178527832,0,1,206,1
1,0.8724675178527832,0,0,206,1
1,0.8733766078948975,0,1,206,1
1,0.8733766078948975,0,0,206,1
1,0.8745454549789429,0,0,206,1
1,0.8745454549789429,0,0,206,1
1,0.874805212020874,0,0,206,1
1,0.875194787979126,0,0,206,1
1,0.8761038780212402,0,1,206,1
1,0.8768830895423889,0,0,206,1
1,0.8774026036262512,0,1,206,1
1,0.8779220581054688,0,1,206,1
1,0.8779220581054688,0,1,206,1
1,0.8797402381896973,0,0,206,1
1,0.88246750831604,0,1,206,1
1,0.8828571438789368,0,1,206,1
1,0.8833765983581543,0,1,206,1
1,0.885064959526062,0,1,206,1
1,0.8855844140052795,0,0,206,1
1,0.8859740495681763,0,1,206,1
1,0.8862337470054626,0,0,206,1
