user_id:token,timestamp,popularity_label,item_popularity
100002,0.6736401915550232,1,1
100021,0.8543933033943176,0,1
100034,0.9255229830741882,-1,0
10004,0.8128312230110168,-1,0
100043,0.6728033423423767,-1,-1
100056,0.8290097713470459,0,1
10006,0.8108786344528198,-1,0
10007,0.8103207945823669,0,1
100070,0.6937238574028015,0,1
100076,0.65969318151474,-1,0
100079,0.6541143655776978,0,1
10008,0.8069735169410706,0,1
100080,0.9595537185668945,0,1
100085,0.868061363697052,-1,0
100099,0.8262203335762024,0,1
100100,0.8262203335762024,-1,0
100106,0.6772663593292236,-1,-1
100113,0.7857740521430969,-1,0
100118,0.7009763121604919,0,1
100120,0.7288702726364136,0,1
100122,0.6588563323020935,0,1
100133,0.9684797525405884,0,1
100146,0.6323570609092712,-1,0
100153,0.6239888668060303,0,1
100187,0.7076708674430847,-1,0
100200,0.7824267745018005,-1,0
100201,0.7788005471229553,-1,0
100203,0.7640167474746704,0,1
100248,0.8186889886856079,-1,0
100251,0.8178521394729614,-1,1
100251,0.8178521394729614,-1,1
100251,0.8178521394729614,-1,1
100251,0.8178521394729614,-1,1
100291,0.7093445062637329,0,1
100294,0.7068340182304382,0,1
100303,0.8061366677284241,-1,0
100309,0.6136680841445923,-1,-1
10031,0.7718270421028137,1,1
10034,0.7673640251159668,-1,0
100340,0.9324964880943298,-1,0
100342,0.85383540391922,1,1
100346,0.8423988819122314,-1,-1
100351,0.7866109013557434,-1,0
100365,0.6666666865348816,-1,0
100389,0.835146427154541,1,1
10039,0.8429567813873291,-1,0
100390,0.835146427154541,1,1
100398,0.8167364001274109,1,1
100405,0.6404463052749634,1,1
100414,0.8245466947555542,-1,0
100417,0.8139470219612122,1,1
100418,0.8013947010040283,1,1
100451,0.7930265069007874,1,1
10046,0.8220362663269043,1,1
10050,0.8050209283828735,1,1
100500,0.7492328882217407,1,1
100502,0.7475592494010925,1,1
100507,0.7336122989654541,1,1
10051,0.804184079170227,-1,0
100515,0.8156206607818604,1,1
10052,0.7486750483512878,-1,0
10052,0.754811704158783,-1,-1
10052,0.754811704158783,-1,-1
10052,0.7553696036338806,-1,0
100534,0.7297071218490601,1,1
100542,0.6490934491157532,-1,0
10055,0.793584406375885,1,1
100562,0.7241283059120178,1,1
100571,0.9101812839508057,-1,0
100613,0.8334727883338928,-1,0
100621,0.6694560647010803,-1,0
